fuzzer,benchmark,edges
aflplusplus_ast_f0,bloaty_fuzz_target,8846
aflplusplus_ast_f1,bloaty_fuzz_target,9115
aflplusplus_ast_o0,bloaty_fuzz_target,9044
aflplusplus_ast_o1,bloaty_fuzz_target,9062
aflplusplus_ast_o2,bloaty_fuzz_target,9133
aflplusplus_ast_o3,bloaty_fuzz_target,9058
aflplusplus_ast_o3_native,bloaty_fuzz_target,9062
aflplusplus_ast_opt_disable,bloaty_fuzz_target,10584
aflplusplus_ast_opt_l1,bloaty_fuzz_target,10758
aflplusplus_ast_o0_lto,bloaty_fuzz_target,11027
aflplusplus_ast_o3_lto,bloaty_fuzz_target,11646
afl_from_input_seed,bloaty_fuzz_target,9347
aflplusplus_ast_f0,lcms-2017-03-21,2954
aflplusplus_ast_f1,lcms-2017-03-21,2900
aflplusplus_ast_o0,lcms-2017-03-21,2868
aflplusplus_ast_o1,lcms-2017-03-21,2440
aflplusplus_ast_o2,lcms-2017-03-21,2531
aflplusplus_ast_o3,lcms-2017-03-21,3003
aflplusplus_ast_o3_native,lcms-2017-03-21,3114
aflplusplus_ast_opt_disable,lcms-2017-03-21,2433
aflplusplus_ast_opt_l1,lcms-2017-03-21,2248
aflplusplus_ast_f0,openthread-2019-12-23,6061
aflplusplus_ast_f1,openthread-2019-12-23,6053
aflplusplus_ast_o0,openthread-2019-12-23,5952
aflplusplus_ast_o1,openthread-2019-12-23,6128
aflplusplus_ast_o2,openthread-2019-12-23,6685
aflplusplus_ast_o3,openthread-2019-12-23,6059
aflplusplus_ast_o3_native,openthread-2019-12-23,6059
aflplusplus_ast_opt_disable,openthread-2019-12-23,5433
aflplusplus_ast_opt_l1,openthread-2019-12-23,5433
aflplusplus_ast_o0_lto,openthread-2019-12-23,5447
aflplusplus_ast_o3_lto,openthread-2019-12-23,5434
aflplusplus_ast_f0,sqlite3_ossfuzz,30503
aflplusplus_ast_f1,sqlite3_ossfuzz,29671
aflplusplus_ast_o0,sqlite3_ossfuzz,27615
aflplusplus_ast_o1,sqlite3_ossfuzz,30741
aflplusplus_ast_o2,sqlite3_ossfuzz,28101
aflplusplus_ast_o3,sqlite3_ossfuzz,30761
aflplusplus_ast_o3_native,sqlite3_ossfuzz,29076
aflplusplus_ast_opt_disable,sqlite3_ossfuzz,33003
aflplusplus_ast_opt_l1,sqlite3_ossfuzz,34303
aflplusplus_ast_o0_lto,sqlite3_ossfuzz,33991
aflplusplus_ast_o3_lto,sqlite3_ossfuzz,35118
afl_from_input_seed,sqlite3_ossfuzz,31212
aflplusplus_ast_f0,woff2-2016-05-06,4751
aflplusplus_ast_f1,woff2-2016-05-06,4568
aflplusplus_ast_o0,woff2-2016-05-06,4768
aflplusplus_ast_o1,woff2-2016-05-06,4767
aflplusplus_ast_o2,woff2-2016-05-06,4881
aflplusplus_ast_o3,woff2-2016-05-06,4782
aflplusplus_ast_o3_native,woff2-2016-05-06,4794
aflplusplus_ast_opt_disable,woff2-2016-05-06,4234
aflplusplus_ast_opt_l1,woff2-2016-05-06,4285
aflplusplus_ast_o0_lto,woff2-2016-05-06,4301
aflplusplus_ast_o3_lto,woff2-2016-05-06,4482
afl_from_input_seed,woff2-2016-05-06,4769
aflplusplus_ast_f0,vorbis-2017-12-11,2289
aflplusplus_ast_f1,vorbis-2017-12-11,2289
aflplusplus_ast_o0,vorbis-2017-12-11,2292
aflplusplus_ast_o1,vorbis-2017-12-11,2287
aflplusplus_ast_o2,vorbis-2017-12-11,2284
aflplusplus_ast_o3,vorbis-2017-12-11,2288
aflplusplus_ast_f0,libjpeg-turbo-07-2017,3376
aflplusplus_ast_f1,libjpeg-turbo-07-2017,3378
aflplusplus_ast_o0,libjpeg-turbo-07-2017,3399
aflplusplus_ast_o1,libjpeg-turbo-07-2017,3370
aflplusplus_ast_o2,libjpeg-turbo-07-2017,3416
aflplusplus_ast_o3,libjpeg-turbo-07-2017,3393
aflplusplus_ast_f0,harfbuzz-1.3.2,11036
aflplusplus_ast_f1,harfbuzz-1.3.2,11376
aflplusplus_ast_o0,harfbuzz-1.3.2,11211
aflplusplus_ast_o1,harfbuzz-1.3.2,11319
aflplusplus_ast_o2,harfbuzz-1.3.2,11194
aflplusplus_ast_o3,harfbuzz-1.3.2,11071
aflplusplus_ast_f0,freetype2-2017,19481
aflplusplus_ast_f1,freetype2-2017,20693
aflplusplus_ast_o0,freetype2-2017,19648
aflplusplus_ast_o1,freetype2-2017,20648
aflplusplus_ast_o2,freetype2-2017,20626
aflplusplus_ast_o3,freetype2-2017,19825
aflplusplus_ast_f0,bloaty_fuzz_target,9278
aflplusplus_ast_f1,bloaty_fuzz_target,9339
aflplusplus_ast_o0,bloaty_fuzz_target,9119
aflplusplus_ast_o1,bloaty_fuzz_target,9576
aflplusplus_ast_o2,bloaty_fuzz_target,8894
aflplusplus_ast_o3,bloaty_fuzz_target,8917
aflplusplus_ast_o3_native,vorbis-2017-12-11,2280
aflplusplus_ast_opt_disable,vorbis-2017-12-11,2288
aflplusplus_ast_opt_l1,vorbis-2017-12-11,2286
aflplusplus_ast_o3_native,freetype2-2017,17493
aflplusplus_ast_opt_disable,freetype2-2017,16211
aflplusplus_ast_opt_l1,freetype2-2017,16336
aflplusplus_ast_o3_lto,vorbis-2017-12-11,2276
aflplusplus_ast_o3_lto,libjpeg-turbo-07-2017,3366
aflplusplus_ast_o3_native,libjpeg-turbo-07-2017,3351
afl_from_input_seed,freetype2-2017,20993
afl_from_input_seed,libjpeg-turbo-07-2017,3351
afl_from_input_seed,vorbis-2017-12-11,2273
aflplusplus_ast_f0,libhtp_fuzz_htp,5220
aflplusplus_ast_f1,libhtp_fuzz_htp,5223
aflplusplus_ast_o0,libhtp_fuzz_htp,5218
aflplusplus_ast_o1,libhtp_fuzz_htp,5218
aflplusplus_ast_o2,libhtp_fuzz_htp,5225
aflplusplus_ast_o3,libhtp_fuzz_htp,5223
aflplusplus_ast_f0,stb_stbi_read_fuzzer,5020
aflplusplus_ast_f1,stb_stbi_read_fuzzer,5412
aflplusplus_ast_o0,stb_stbi_read_fuzzer,4822
aflplusplus_ast_o1,stb_stbi_read_fuzzer,4594
aflplusplus_ast_o2,stb_stbi_read_fuzzer,4569
aflplusplus_ast_o3,stb_stbi_read_fuzzer,4848
aflplusplus_ast_f0,freetype2-2017,18898
aflplusplus_ast_f1,freetype2-2017,19303
aflplusplus_ast_o0,freetype2-2017,17690
aflplusplus_ast_o1,freetype2-2017,19923
aflplusplus_ast_o2,freetype2-2017,19327
aflplusplus_ast_o3,freetype2-2017,18936
aflplusplus_ast_f0,bloaty_fuzz_target,9195
aflplusplus_ast_f1,bloaty_fuzz_target,8973
aflplusplus_ast_o0,bloaty_fuzz_target,8991
aflplusplus_ast_o1,bloaty_fuzz_target,9435
aflplusplus_ast_o2,bloaty_fuzz_target,8715
aflplusplus_ast_o3,bloaty_fuzz_target,8912
aflplusplus_ast_f0,curl_curl_fuzzer_http,0
aflplusplus_ast_f1,curl_curl_fuzzer_http,0
aflplusplus_ast_o0,curl_curl_fuzzer_http,0
aflplusplus_ast_o1,curl_curl_fuzzer_http,0
aflplusplus_ast_o2,curl_curl_fuzzer_http,0
aflplusplus_ast_o3,curl_curl_fuzzer_http,0
aflplusplus_ast_f0,lcms-2017-03-21,2732
aflplusplus_ast_f1,lcms-2017-03-21,2220
aflplusplus_ast_o0,lcms-2017-03-21,2744
aflplusplus_ast_o1,lcms-2017-03-21,2425
aflplusplus_ast_o2,lcms-2017-03-21,2835
aflplusplus_ast_o3,lcms-2017-03-21,2684
aflplusplus_ast_f0,libpng-1.2.56,1834
aflplusplus_ast_f1,libpng-1.2.56,1777
aflplusplus_ast_o0,libpng-1.2.56,1780
aflplusplus_ast_o1,libpng-1.2.56,1823
aflplusplus_ast_o2,libpng-1.2.56,1775
aflplusplus_ast_o3,libpng-1.2.56,1770
aflplusplus_ast_o3_native,vorbis-2017-12-11,2282
aflplusplus_ast_opt_disable,vorbis-2017-12-11,2287
aflplusplus_ast_opt_l1,vorbis-2017-12-11,2291
aflplusplus_ast_o3_native,libjpeg-turbo-07-2017,3392
aflplusplus_ast_o3_native,harfbuzz-1.3.2,11535
aflplusplus_ast_opt_l1,harfbuzz-1.3.2,10994
aflplusplus_ast_o3_native,freetype2-2017,20877
aflplusplus_ast_opt_disable,freetype2-2017,17656
aflplusplus_ast_opt_l1,freetype2-2017,18105
aflplusplus_ast_o3_native,bloaty_fuzz_target,8652
aflplusplus_ast_opt_disable,bloaty_fuzz_target,10797
aflplusplus_ast_opt_l1,bloaty_fuzz_target,10430
aflplusplus_ast_o3_native,jsoncpp_jsoncpp_fuzzer,1534
aflplusplus_ast_opt_disable,jsoncpp_jsoncpp_fuzzer,1537
aflplusplus_ast_opt_l1,jsoncpp_jsoncpp_fuzzer,1536
aflplusplus_ast_o3_native,lcms-2017-03-21,3066
aflplusplus_ast_opt_disable,lcms-2017-03-21,2251
aflplusplus_ast_opt_l1,lcms-2017-03-21,2219
aflplusplus_ast_o3_native,libpng-1.2.56,1772
aflplusplus_ast_opt_disable,libpng-1.2.56,1696
aflplusplus_ast_opt_l1,libpng-1.2.56,1698
